data_size_kb,latency_ns
1,1.19438016
1,1.18659112
2,1.19171088
3,1.18099536
5,1.19123386
7,1.18810296
11,1.18327584
17,1.19510978
25,1.33444826
38,1.84602982
57,2.28489746
86,2.56791614
129,2.7168439
194,2.79870548
291,3.56636696
437,5.48457708
656,7.31406684
985,8.76260422
1477,10.61262296
2216,11.75134846
3325,12.3565212
4987,12.99102296
7481,13.52985572
11222,15.24393168
16833,18.16928388
25250,47.3603661
37876,75.62189428
56814,81.318401
85221,92.370467
127832,105.25923036
191748,109.24761188
